domain,availability_code,br,us,uk,br_reason,us_reason,uk_reason
vilora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Virexa,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
vistra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
vonara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
vontaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
vontera,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
vonterra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
vontra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wise2b,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wise2be,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wise2go,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisearea,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wiseco,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wiseiq,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wiselens,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisely,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisentra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wiseon,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wiseplace,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisera,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisero,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisespot,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wisetobe,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wiseva,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
wysara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Xantara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Zentora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
zentra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Zentraq,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Zevanta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
zonara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Zontera,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Zontra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Zonvanta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
